group,datum
0,-3.919276101768771
0,-3.4578709297596912
0,-2.8498931561213823
0,-3.573968533455573
0,-5.040564287157718
0,-4.015395628621863
0,-4.87284043155842
0,-3.8199132515429235
0,-2.9831982217025046
0,-3.271702056839372
0,-4.316546036481927
0,-4.592212255645409
0,-3.7315984746159825
0,-4.722181747206094
0,-5.010279103838061
0,-5.526065093379928
0,-3.3027674921196613
0,-2.6265678471756475
0,-2.2938954299171326
0,-3.2297219888877438
0,-3.2929963849471378
0,-2.5595107610412136
0,-2.5280991168256977
0,-4.681350393116574
0,-3.2541849349032685
0,-2.2000404923079038
0,-3.299596508409488
0,-2.8698382369744504
0,-4.865340830732534
0,-4.086515818298891
0,-3.885289705525007
0,-4.451593809535765
0,-3.5793468725155733
0,-3.1042743785887033
0,-1.2391167433129517
0,-4.831493239146513
0,-3.863459285001272
0,-2.7640366672832473
0,-3.7955433221459556
0,-2.4260453918902116
0,-4.933043246283984
0,-4.224397298801804
0,-5.876152340062675
0,-2.6129386700712596
0,-3.121139480261521
0,-2.1037062070887633
0,-3.6287164785508215
0,-0.41286537919469435
0,-2.453485466704886
0,-3.2804969719683577
0,-4.358951130724721
0,-4.546598040086736
0,-4.62914971622736
0,-5.330465493938545
0,-2.9537723553249426
0,-2.911857373845927
0,-3.376832955234818
0,-3.394193023212326
0,-4.770180943272421
0,-4.570409128525415
0,-4.7030024170634785
0,-3.815426862271069
0,-1.8797377867476621
0,-2.678931972328925
0,-3.4973956575150966
0,-4.456028125154692
0,-4.349607551736774
0,-4.437831277829033
0,-3.0401950921985095
0,-4.724692815016011
0,-3.8765227537001574
0,-4.144237824826929
0,-5.198479797030442
0,-5.315436321250654
0,-3.4783437351563493
0,-6.089373788566858
0,-4.283966177032215
0,-3.584966646101388
0,-2.6821040883047504
0,-8.41621100315079
0,-5.192866024506015
0,-3.3895934686535174
0,-2.505714848659281
0,-3.257051779900877
0,-6.072743184234966
0,-3.6160546788541743
0,-3.725678517631372
0,-2.8351243156603374
0,-3.2512693121682315
0,-3.975277661241509
0,-3.983719467887197
0,-3.5971722277809297
0,-3.7179249223821085
0,-5.739479373210109
0,-3.3039630477260773
0,-5.118394841143769
0,-1.724087762348435
0,-4.222664039041314
0,-3.904552852227331
0,-3.5966199619934063
0,-4.4438416363394
0,-5.504917041873478
0,-5.402147826743783
0,-1.5575287619894862
0,-5.0873960542297505
0,-4.195939070063378
0,-3.740461694899462
0,-4.904472480003562
0,0.6633965984089087
0,-2.903917391290458
0,-2.9537244924026043
0,-3.329526637674275
0,-2.910405214217678
0,-5.091884708696715
0,-3.594056913036561
0,-5.369526976344874
0,-5.787703324038546
0,-3.4740060307338023
0,-5.206256272207163
0,-3.651115939075764
0,-1.906235142479956
0,-3.2521201405193034
0,-1.6356611409109947
0,-4.054503902239445
0,-4.783530191081407
0,-4.0281272782913184
0,-3.521987320742768
0,-4.4636339482488765
0,-2.2264082437745527
0,-3.9271495888583026
0,-3.7179026378258344
0,-3.20495090026541
0,-2.1586682713834096
0,-4.463685192818097
0,-4.826443245028072
0,-3.3973765326600462
0,-3.126295850702396
0,-5.681903083882798
0,-3.9585580921689156
0,-4.893802850320664
0,-4.317290863983605
0,-4.012226399391862
0,-4.788810341122192
0,-4.211266214046209
0,-4.648952449751093
0,-5.155730974832505
0,-3.6795938391979877
0,-4.988973635331467
0,-3.00617110735736
0,-4.5677590974546485
0,-4.159328960794135
0,-0.9051603724922166
0,-4.650064042119998
0,-4.284381959915192
0,-2.493520375034884
0,-2.0394845267193507
0,-3.0644783902849984
0,-3.433474185934399
0,-5.6949408710797185
0,-4.087400810292763
0,-5.944251726644323
0,-3.625444525235897
0,-4.635055036029885
0,-2.8980805300847594
0,-3.318781359918936
0,-4.72593888170505
0,-5.493879683469087
0,-4.86194819842262
0,-3.2756673446747957
0,-3.406542726838443
0,-3.8624190801257448
0,-3.6541241945711853
0,-3.1973881386288996
0,-3.151913693100823
0,-2.6501404943801337
0,-4.81442640267897
0,-4.071986914083093
0,-3.595937782555465
0,-3.501408518818838
0,-3.0593207548240815
0,-4.882199811027708
0,-4.4652129013407915
0,-2.8421852600564934
0,-4.2902896084907685
0,-2.9915978184183336
0,-3.520570539220209
0,-4.100026856253048
0,-2.291010702583222
0,-2.67883311075411
0,-5.198491376847509
0,-1.953300059335176
0,-4.455866908764471
0,-4.087933962026657
0,-5.2135568831559524
0,-3.4040457626953606
0,-3.5258627991531077
0,-3.1939226793442357
0,-5.8796957741411005
0,-4.110475862403096
0,-4.320582568733642
0,-2.899051277089398
0,-3.7273666752390473
0,-5.043876415447242
0,-6.3250852707746
0,-4.348723658029931
0,-5.546964325903652
0,-4.457094915266662
0,-3.5676407517520548
0,-4.76378421604734
0,-2.7655191052876127
0,-3.776406822021546
0,-3.617638373417471
0,-4.164814224069628
0,-5.939362836373196
0,-3.94010927206755
0,-4.255686543393905
0,-3.979333929710191
0,-3.117921031813024
0,-3.7442479782829254
0,-2.4374017514645
0,-3.7158145153821027
0,-4.089341549308143
0,-4.232323691135889
0,-3.722998335706329
0,-3.378713378689781
0,-3.884305534027568
0,-0.17631580629970545
0,-2.72281698341477
0,-5.2736483097227875
0,-4.7876328420273975
0,-1.8512617076174651
0,-2.74726670811277
0,-4.2724181059891935
0,-4.592439767860325
0,-4.001512481577031
0,-3.899862419234718
0,-4.8266149702160295
0,-4.859540849036582
0,-4.4292797416202285
0,-4.288071972786732
0,-4.679448184590908
0,-4.35669893351731
0,-2.3352101578048763
0,-5.640140227805656
0,-3.0190162170296335
0,-3.77640660406403
0,-4.2185673509760235
